term,partOfSpeech,meaning,exampleEn,exampleVi
conscious of,adjective phrase,nhận thức rõ về,She became acutely conscious of the impression she was making.,Cô ấy trở nên nhận thức rất rõ về ấn tượng mà mình đang tạo ra.
unaware of,adjective phrase,không nhận thức được,He was completely unaware of the strict parking regulations.,Anh ấy hoàn toàn không nhận thức được các quy định đỗ xe nghiêm ngặt.
incapable of,adjective phrase,không có khả năng,The old server is incapable of handling sudden traffic spikes.,Máy chủ cũ này không có khả năng xử lý lượng truy cập tăng vọt đột ngột.
tolerant towards,adjective phrase,khoan dung với,Society is becoming increasingly tolerant towards diverse opinions.,Xã hội đang ngày càng trở nên khoan dung hơn với các ý kiến đa chiều.
friendly towards,adjective phrase,thân thiện với,The host community was exceptionally friendly towards visitors.,Cộng đồng địa phương cực kỳ thân thiện với những người khách ghé thăm.
hostile towards,adjective phrase,thù địch với,The rival factions were overtly hostile towards each other.,Các phe đối địch tỏ ra thù địch một cách công khai với nhau.
sympathetic towards,adjective phrase,cảm thông với,The committee was genuinely sympathetic towards striking workers.,Ủy ban đã thực sự cảm thông với những công nhân tham gia đình công.
enthusiastic towards,adjective phrase,nhiệt tình với,Young employees were very enthusiastic towards the new training program.,Các nhân viên trẻ tuổi rất nhiệt tình với chương trình đào tạo mới.
amazed at,adjective phrase,ngạc nhiên trước,Visitors were amazed at the sheer magnitude of the grand temple.,Du khách đã hết sức ngạc nhiên trước quy mô đồ sộ của ngôi đền lớn.
surprised at,adjective phrase,ngạc nhiên trước,We were pleasantly surprised at the swift resolution of the issue.,Chúng tôi đã rất ngạc nhiên trước cách xử lý vấn đề một cách nhanh chóng.
shocked at,adjective phrase,sốc trước,The public was deeply shocked at the widespread political corruption.,Công chúng đã vô cùng sốc trước tình trạng tham nhũng lan rộng.
good for,adjective phrase,tốt/có lợi cho,Regular cardiovascular exercise is exceptionally good for heart health.,Tập luyện tim mạch đều đặn là điều cực kỳ tốt cho sức khỏe trái tim.
bad for,adjective phrase,xấu/có hại cho,Prolonged screen exposure before sleep is bad for quality rest.,Nhìn màn hình quá lâu trước khi ngủ rất có hại cho chất lượng giấc ngủ.
famous as,adjective phrase,nổi tiếng với tư cách là,The city is globally famous as a premier center of haute cuisine.,Thành phố này nổi tiếng trên toàn cầu với tư cách là trung tâm ẩm thực đỉnh cao.
known as,adjective phrase,được biết đến với tư cách là,Alan Turing is famously known as the grandfather of modern computing.,Alan Turing được biết đến rộng rãi với tư cách là cha đẻ của ngành máy tính hiện đại.
popular among,adjective phrase,phổ biến trong nhóm,This strategy video game is immensely popular among teenagers.,Trò chơi điện tử chiến thuật này cực kỳ phổ biến trong nhóm thiếu niên.
common among,adjective phrase,phổ biến trong nhóm,Seasonal allergies are increasingly common among urban residents.,Dị ứng thời tiết ngày càng trở nên phổ biến trong nhóm cư dân thành thị.
